Transaction_ID,Transaction_Date,Product_ID,Quantity,Unit_Price,Total_Amount,Country,Sales_Channel,Currency
TXN-2025_02-00001,2025-02-24,PRD-7002,1,499.99,499.99,Portugal,Retail,EUR
TXN-2025_02-00002,2025-02-01,PRD-5004,1,19.99,19.99,Poland,Online,EUR
TXN-2025_02-00003,2025-02-12,PRD-2001,1,1299.99,1299.99,France,Online,EUR
TXN-2025_02-00004,2025-02-15,PRD-8002,1,129.99,129.99,Spain,Online,EUR
TXN-2025_02-00005,2025-02-05,PRD-4003,2,399.99,799.98,Italy,Partner,EUR
TXN-2025_02-00006,2025-02-27,PRD-1001,3,899.99,2699.97,Norway,Partner,EUR
TXN-2025_02-00007,2025-02-06,PRD-1001,1,899.99,899.99,Portugal,Online,EUR
TXN-2025_02-00008,2025-02-16,PRD-1002,1,599.99,599.99,Belgium,Partner,EUR
TXN-2025_02-00009,2025-02-27,PRD-5001,1,59.99,59.99,Belgium,Online,EUR
TXN-2025_02-00010,2025-02-12,PRD-1002,2,599.99,1199.98,Austria,Retail,EUR
TXN-2025_02-00011,2025-02-12,PRD-3001,2,799.99,1599.98,Finland,Online,EUR
TXN-2025_02-00012,2025-02-03,PRD-1001,2,899.99,1799.98,Denmark,Retail,EUR
TXN-2025_02-00013,2025-02-23,PRD-7002,2,499.99,999.98,Belgium,Online,EUR
TXN-2025_02-00014,2025-02-02,PRD-2001,1,1299.99,1299.99,Italy,Online,EUR
TXN-2025_02-00015,2025-02-07,PRD-7001,1,69.99,69.99,Netherlands,Retail,EUR
TXN-2025_02-00016,2025-02-02,PRD-7003,2,89.99,179.98,Greece,Retail,EUR
TXN-2025_02-00017,2025-02-21,PRD-1001,3,899.99,2699.97,Spain,Retail,EUR
TXN-2025_02-00018,2025-02-07,PRD-2003,2,649.99,1299.98,Denmark,Partner,EUR
TXN-2025_02-00019,2025-02-11,PRD-1001,1,899.99,899.99,Denmark,Retail,EUR
TXN-2025_02-00020,2025-02-11,PRD-7001,1,69.99,69.99,France,Online,EUR
TXN-2025_02-00021,2025-02-14,PRD-3001,2,799.99,1599.98,Norway,Online,EUR
TXN-2025_02-00022,2025-02-03,PRD-1001,1,899.99,899.99,Sweden,Retail,EUR
TXN-2025_02-00023,2025-02-14,PRD-1001,1,899.99,899.99,Poland,Partner,EUR
TXN-2025_02-00024,2025-02-11,PRD-2002,2,1099.99,2199.98,Greece,Partner,EUR
TXN-2025_02-00025,2025-02-04,PRD-7003,1,89.99,89.99,Romania,Retail,EUR
TXN-2025_02-00026,2025-02-17,PRD-4003,1,399.99,399.99,Germany,Retail,EUR
TXN-2025_02-00027,2025-02-16,PRD-6001,1,199.99,199.99,Belgium,Retail,EUR
TXN-2025_02-00028,2025-02-03,PRD-2001,2,1299.99,2599.98,Hungary,Online,EUR
TXN-2025_02-00029,2025-02-25,PRD-1001,1,899.99,899.99,Austria,Online,EUR
TXN-2025_02-00030,2025-02-10,PRD-8001,1,99.99,99.99,Germany,Retail,EUR
TXN-2025_02-00031,2025-02-21,PRD-1001,2,899.99,1799.98,Italy,Partner,EUR
TXN-2025_02-00032,2025-02-15,PRD-7003,1,89.99,89.99,Sweden,Partner,EUR
