Transaction_ID,Transaction_Date,Product_ID,Quantity,Unit_Price,Total_Amount,Country,Sales_Channel,Currency
TXN-2025_06-00001,2025-06-29,PRD-3001,1,799.99,799.99,France,Retail,EUR
TXN-2025_06-00002,2025-06-21,PRD-2002,2,1099.99,2199.98,Finland,Retail,EUR
TXN-2025_06-00003,2025-06-08,PRD-7001,1,69.99,69.99,Sweden,Partner,EUR
TXN-2025_06-00004,2025-06-22,PRD-1001,2,899.99,1799.98,Norway,Partner,EUR
TXN-2025_06-00005,2025-06-12,PRD-1001,1,899.99,899.99,Belgium,Retail,EUR
TXN-2025_06-00006,2025-06-23,PRD-3001,1,799.99,799.99,Hungary,Retail,EUR
TXN-2025_06-00007,2025-06-06,PRD-2001,1,1299.99,1299.99,Switzerland,Online,EUR
TXN-2025_06-00008,2025-06-24,PRD-2002,1,1099.99,1099.99,Switzerland,Retail,EUR
TXN-2025_06-00009,2025-06-02,PRD-8003,2,379.99,759.98,Romania,Online,EUR
TXN-2025_06-00010,2025-06-12,PRD-5002,1,39.99,39.99,Czech Republic,Online,EUR
TXN-2025_06-00011,2025-06-23,PRD-6002,1,449.99,449.99,Czech Republic,Retail,EUR
TXN-2025_06-00012,2025-06-21,PRD-2001,1,1299.99,1299.99,Norway,Online,EUR
TXN-2025_06-00013,2025-06-30,PRD-1003,1,349.99,349.99,Norway,Online,EUR
TXN-2025_06-00014,2025-06-12,PRD-5002,1,39.99,39.99,France,Online,EUR
TXN-2025_06-00015,2025-06-13,PRD-5003,2,79.99,159.98,Italy,Partner,EUR
TXN-2025_06-00016,2025-06-09,PRD-3002,1,449.99,449.99,Netherlands,Online,EUR
TXN-2025_06-00017,2025-06-15,PRD-6002,1,449.99,449.99,Switzerland,Online,EUR
TXN-2025_06-00018,2025-06-11,PRD-8001,1,99.99,99.99,Finland,Partner,EUR
TXN-2025_06-00019,2025-06-09,PRD-2003,1,649.99,649.99,Romania,Online,EUR
TXN-2025_06-00020,2025-06-24,PRD-1003,2,349.99,699.98,Belgium,Partner,EUR
TXN-2025_06-00021,2025-06-08,PRD-3001,1,799.99,799.99,Hungary,Partner,EUR
TXN-2025_06-00022,2025-06-30,PRD-8002,2,129.99,259.98,Czech Republic,Online,EUR
TXN-2025_06-00023,2025-06-20,PRD-1003,1,349.99,349.99,Greece,Retail,EUR
TXN-2025_06-00024,2025-06-28,PRD-4001,1,249.99,249.99,France,Partner,EUR
TXN-2025_06-00025,2025-06-24,PRD-4003,3,399.99,1199.97,Netherlands,Retail,EUR
TXN-2025_06-00026,2025-06-18,PRD-1002,1,599.99,599.99,Switzerland,Online,EUR
TXN-2025_06-00027,2025-06-11,PRD-4001,1,249.99,249.99,Ireland,Partner,EUR
TXN-2025_06-00028,2025-06-05,PRD-2001,1,1299.99,1299.99,Hungary,Online,EUR
TXN-2025_06-00029,2025-06-04,PRD-6001,2,199.99,399.98,Poland,Online,EUR
TXN-2025_06-00030,2025-06-21,PRD-5001,1,59.99,59.99,Poland,Partner,EUR
TXN-2025_06-00031,2025-06-05,PRD-5004,1,19.99,19.99,Italy,Online,EUR
TXN-2025_06-00032,2025-06-21,PRD-1002,2,599.99,1199.98,Italy,Retail,EUR
TXN-2025_06-00033,2025-06-07,PRD-1001,1,899.99,899.99,Finland,Online,EUR
TXN-2025_06-00034,2025-06-17,PRD-6001,1,199.99,199.99,Sweden,Retail,EUR
TXN-2025_06-00035,2025-06-29,PRD-2002,1,1099.99,1099.99,Czech Republic,Online,EUR
TXN-2025_06-00036,2025-06-18,PRD-1002,3,599.99,1799.97,Finland,Online,EUR
TXN-2025_06-00037,2025-06-23,PRD-1001,3,899.99,2699.97,Czech Republic,Online,EUR
TXN-2025_06-00038,2025-06-01,PRD-3001,1,799.99,799.99,Spain,Online,EUR
TXN-2025_06-00039,2025-06-16,PRD-1002,2,599.99,1199.98,Germany,Online,EUR
TXN-2025_06-00040,2025-06-09,PRD-3002,2,449.99,899.98,Italy,Online,EUR
TXN-2025_06-00041,2025-06-12,PRD-5001,1,59.99,59.99,Poland,Partner,EUR
TXN-2025_06-00042,2025-06-19,PRD-3002,2,449.99,899.98,Czech Republic,Online,EUR
TXN-2025_06-00043,2025-06-11,PRD-7001,3,69.99,209.97,Austria,Online,EUR
TXN-2025_06-00044,2025-06-06,PRD-1002,1,599.99,599.99,Norway,Online,EUR
TXN-2025_06-00045,2025-06-04,PRD-3001,1,799.99,799.99,Sweden,Partner,EUR
