Transaction_ID,Transaction_Date,Product_ID,Quantity,Unit_Price,Total_Amount,Country,Sales_Channel,Currency
TXN-2025_11-00001,2025-11-06,PRD-1001,2,899.99,1799.98,Croatia,Online,EUR
TXN-2025_11-00002,2025-11-24,PRD-3001,1,799.99,799.99,Switzerland,Online,EUR
TXN-2025_11-00003,2025-11-01,PRD-4002,2,149.99,299.98,Austria,Online,EUR
TXN-2025_11-00004,2025-11-25,PRD-5004,3,19.99,59.97,Ireland,Partner,EUR
TXN-2025_11-00005,2025-11-13,PRD-2001,1,1299.99,1299.99,Switzerland,Online,EUR
TXN-2025_11-00006,2025-11-15,PRD-4002,3,149.99,449.97,Finland,Retail,EUR
TXN-2025_11-00007,2025-11-11,PRD-1001,1,899.99,899.99,Romania,Online,EUR
TXN-2025_11-00008,2025-11-30,PRD-2001,1,1299.99,1299.99,Denmark,Retail,EUR
TXN-2025_11-00009,2025-11-23,PRD-1003,1,349.99,349.99,Netherlands,Online,EUR
TXN-2025_11-00010,2025-11-04,PRD-1001,1,899.99,899.99,Netherlands,Online,EUR
TXN-2025_11-00011,2025-11-08,PRD-4003,1,399.99,399.99,Belgium,Retail,EUR
TXN-2025_11-00012,2025-11-07,PRD-2001,1,1299.99,1299.99,Hungary,Partner,EUR
TXN-2025_11-00013,2025-11-27,PRD-1002,2,599.99,1199.98,Austria,Online,EUR
TXN-2025_11-00014,2025-11-13,PRD-1002,1,599.99,599.99,Spain,Online,EUR
TXN-2025_11-00015,2025-11-21,PRD-7001,1,69.99,69.99,Italy,Partner,EUR
TXN-2025_11-00016,2025-11-05,PRD-1002,2,599.99,1199.98,Poland,Online,EUR
TXN-2025_11-00017,2025-11-01,PRD-6001,1,199.99,199.99,Sweden,Partner,EUR
TXN-2025_11-00018,2025-11-25,PRD-3001,2,799.99,1599.98,Poland,Online,EUR
TXN-2025_11-00019,2025-11-16,PRD-1001,1,899.99,899.99,Switzerland,Online,EUR
TXN-2025_11-00020,2025-11-11,PRD-7003,1,89.99,89.99,Austria,Online,EUR
TXN-2025_11-00021,2025-11-22,PRD-3002,1,449.99,449.99,Norway,Online,EUR
TXN-2025_11-00022,2025-11-18,PRD-2001,1,1299.99,1299.99,Netherlands,Retail,EUR
TXN-2025_11-00023,2025-11-24,PRD-1003,1,349.99,349.99,Romania,Retail,EUR
TXN-2025_11-00024,2025-11-09,PRD-2001,3,1299.99,3899.97,Romania,Online,EUR
TXN-2025_11-00025,2025-11-30,PRD-1002,1,599.99,599.99,Poland,Retail,EUR
TXN-2025_11-00026,2025-11-04,PRD-1003,3,349.99,1049.97,Romania,Online,EUR
TXN-2025_11-00027,2025-11-07,PRD-2002,3,1099.99,3299.97,Finland,Retail,EUR
TXN-2025_11-00028,2025-11-28,PRD-3001,3,799.99,2399.97,Poland,Online,EUR
TXN-2025_11-00029,2025-11-28,PRD-5001,1,59.99,59.99,Sweden,Online,EUR
TXN-2025_11-00030,2025-11-23,PRD-2001,1,1299.99,1299.99,Sweden,Online,EUR
TXN-2025_11-00031,2025-11-07,PRD-1002,2,599.99,1199.98,Spain,Online,EUR
TXN-2025_11-00032,2025-11-13,PRD-1001,1,899.99,899.99,France,Online,EUR
TXN-2025_11-00033,2025-11-19,PRD-2002,1,1099.99,1099.99,Czech Republic,Online,EUR
TXN-2025_11-00034,2025-11-07,PRD-5003,2,79.99,159.98,Czech Republic,Online,EUR
TXN-2025_11-00035,2025-11-21,PRD-2001,2,1299.99,2599.98,Sweden,Online,EUR
TXN-2025_11-00036,2025-11-28,PRD-1002,3,599.99,1799.97,Czech Republic,Online,EUR
TXN-2025_11-00037,2025-11-28,PRD-7001,2,69.99,139.98,Norway,Partner,EUR
TXN-2025_11-00038,2025-11-07,PRD-4002,1,149.99,149.99,Switzerland,Online,EUR
TXN-2025_11-00039,2025-11-13,PRD-8001,1,99.99,99.99,Hungary,Retail,EUR
TXN-2025_11-00040,2025-11-04,PRD-3002,1,449.99,449.99,Belgium,Online,EUR
TXN-2025_11-00041,2025-11-12,PRD-3002,3,449.99,1349.97,France,Retail,EUR
TXN-2025_11-00042,2025-11-08,PRD-8001,2,99.99,199.98,Spain,Online,EUR
TXN-2025_11-00043,2025-11-16,PRD-4001,1,249.99,249.99,Switzerland,Partner,EUR
TXN-2025_11-00044,2025-11-11,PRD-3001,1,799.99,799.99,France,Retail,EUR
TXN-2025_11-00045,2025-11-04,PRD-1003,2,349.99,699.98,Ireland,Partner,EUR
TXN-2025_11-00046,2025-11-21,PRD-2002,1,1099.99,1099.99,Germany,Retail,EUR
TXN-2025_11-00047,2025-11-29,PRD-3002,1,449.99,449.99,Finland,Online,EUR
TXN-2025_11-00048,2025-11-15,PRD-3002,2,449.99,899.98,Finland,Online,EUR
TXN-2025_11-00049,2025-11-26,PRD-2003,1,649.99,649.99,Switzerland,Online,EUR
TXN-2025_11-00050,2025-11-12,PRD-4003,2,399.99,799.98,Italy,Online,EUR
TXN-2025_11-00051,2025-11-23,PRD-1002,3,599.99,1799.97,Romania,Partner,EUR
TXN-2025_11-00052,2025-11-02,PRD-6001,1,199.99,199.99,Croatia,Online,EUR
TXN-2025_11-00053,2025-11-23,PRD-5001,2,59.99,119.98,Germany,Retail,EUR
TXN-2025_11-00054,2025-11-23,PRD-5004,1,19.99,19.99,Sweden,Retail,EUR
TXN-2025_11-00055,2025-11-06,PRD-1001,2,899.99,1799.98,Romania,Online,EUR
TXN-2025_11-00056,2025-11-29,PRD-5003,1,79.99,79.99,Germany,Online,EUR
TXN-2025_11-00057,2025-11-18,PRD-5001,3,59.99,179.97,Poland,Online,EUR
TXN-2025_11-00058,2025-11-24,PRD-1001,1,899.99,899.99,Portugal,Online,EUR
TXN-2025_11-00059,2025-11-22,PRD-2003,1,649.99,649.99,Switzerland,Retail,EUR
TXN-2025_11-00060,2025-11-12,PRD-2001,2,1299.99,2599.98,Norway,Online,EUR
TXN-2025_11-00061,2025-11-16,PRD-1003,1,349.99,349.99,Switzerland,Online,EUR
TXN-2025_11-00062,2025-11-01,PRD-1002,1,599.99,599.99,Spain,Retail,EUR
TXN-2025_11-00063,2025-11-19,PRD-1003,1,349.99,349.99,Ireland,Partner,EUR
