Transaction_ID,Transaction_Date,Product_ID,Quantity,Unit_Price,Total_Amount,Country,Sales_Channel,Currency
TXN-2025_01-00001,2025-01-27,PRD-5001,1,59.99,59.99,Netherlands,Online,EUR
TXN-2025_01-00002,2025-01-16,PRD-1003,1,349.99,349.99,Germany,Online,EUR
TXN-2025_01-00003,2025-01-01,PRD-4003,2,399.99,799.98,Norway,Online,EUR
TXN-2025_01-00004,2025-01-16,PRD-8002,2,129.99,259.98,Czech Republic,Retail,EUR
TXN-2025_01-00005,2025-01-05,PRD-4003,1,399.99,399.99,Spain,Retail,EUR
TXN-2025_01-00006,2025-01-03,PRD-6002,1,449.99,449.99,Switzerland,Retail,EUR
TXN-2025_01-00007,2025-01-20,PRD-7003,1,89.99,89.99,Romania,Retail,EUR
TXN-2025_01-00008,2025-01-15,PRD-3001,3,799.99,2399.97,Portugal,Online,EUR
TXN-2025_01-00009,2025-01-31,PRD-4003,1,399.99,399.99,Norway,Partner,EUR
TXN-2025_01-00010,2025-01-13,PRD-6001,1,199.99,199.99,Ireland,Partner,EUR
TXN-2025_01-00011,2025-01-24,PRD-2001,1,1299.99,1299.99,Poland,Online,EUR
TXN-2025_01-00012,2025-01-16,PRD-1003,2,349.99,699.98,Netherlands,Online,EUR
TXN-2025_01-00013,2025-01-23,PRD-7003,1,89.99,89.99,Sweden,Partner,EUR
TXN-2025_01-00014,2025-01-11,PRD-5001,1,59.99,59.99,France,Partner,EUR
TXN-2025_01-00015,2025-01-21,PRD-1002,3,599.99,1799.97,Italy,Partner,EUR
TXN-2025_01-00016,2025-01-02,PRD-2003,2,649.99,1299.98,France,Partner,EUR
TXN-2025_01-00017,2025-01-22,PRD-5003,2,79.99,159.98,Hungary,Online,EUR
TXN-2025_01-00018,2025-01-27,PRD-3002,1,449.99,449.99,Denmark,Retail,EUR
TXN-2025_01-00019,2025-01-06,PRD-4002,3,149.99,449.97,Sweden,Online,EUR
TXN-2025_01-00020,2025-01-26,PRD-5002,1,39.99,39.99,Netherlands,Online,EUR
TXN-2025_01-00021,2025-01-26,PRD-4002,1,149.99,149.99,France,Retail,EUR
TXN-2025_01-00022,2025-01-30,PRD-3002,1,449.99,449.99,Spain,Online,EUR
TXN-2025_01-00023,2025-01-27,PRD-5001,3,59.99,179.97,France,Retail,EUR
TXN-2025_01-00024,2025-01-06,PRD-5001,2,59.99,119.98,Spain,Online,EUR
TXN-2025_01-00025,2025-01-14,PRD-4002,2,149.99,299.98,Romania,Online,EUR
TXN-2025_01-00026,2025-01-25,PRD-2001,1,1299.99,1299.99,Hungary,Online,EUR
TXN-2025_01-00027,2025-01-11,PRD-2002,1,1099.99,1099.99,Austria,Online,EUR
TXN-2025_01-00028,2025-01-08,PRD-8001,1,99.99,99.99,Greece,Online,EUR
TXN-2025_01-00029,2025-01-08,PRD-1001,2,899.99,1799.98,Netherlands,Online,EUR
TXN-2025_01-00030,2025-01-01,PRD-1003,1,349.99,349.99,Croatia,Partner,EUR
TXN-2025_01-00031,2025-01-21,PRD-3001,1,799.99,799.99,Finland,Online,EUR
TXN-2025_01-00032,2025-01-07,PRD-6001,1,199.99,199.99,Norway,Online,EUR
TXN-2025_01-00033,2025-01-06,PRD-1002,1,599.99,599.99,Italy,Retail,EUR
TXN-2025_01-00034,2025-01-21,PRD-1003,1,349.99,349.99,Denmark,Retail,EUR
TXN-2025_01-00035,2025-01-08,PRD-1001,1,899.99,899.99,Portugal,Online,EUR
TXN-2025_01-00036,2025-01-19,PRD-4003,2,399.99,799.98,Austria,Retail,EUR
TXN-2025_01-00037,2025-01-22,PRD-1003,2,349.99,699.98,Italy,Retail,EUR
TXN-2025_01-00038,2025-01-31,PRD-2002,2,1099.99,2199.98,Ireland,Online,EUR
TXN-2025_01-00039,2025-01-21,PRD-2003,2,649.99,1299.98,Norway,Online,EUR
TXN-2025_01-00040,2025-01-24,PRD-6002,1,449.99,449.99,Czech Republic,Partner,EUR
TXN-2025_01-00041,2025-01-20,PRD-2002,2,1099.99,2199.98,France,Retail,EUR
TXN-2025_01-00042,2025-01-08,PRD-1002,2,599.99,1199.98,Sweden,Retail,EUR
TXN-2025_01-00043,2025-01-26,PRD-3001,1,799.99,799.99,Italy,Online,EUR
TXN-2025_01-00044,2025-01-14,PRD-8001,1,99.99,99.99,Spain,Online,EUR
TXN-2025_01-00045,2025-01-31,PRD-4001,2,249.99,499.98,France,Retail,EUR
TXN-2025_01-00046,2025-01-18,PRD-8002,1,129.99,129.99,Hungary,Online,EUR
TXN-2025_01-00047,2025-01-25,PRD-6001,2,199.99,399.98,Poland,Online,EUR
TXN-2025_01-00048,2025-01-29,PRD-1001,2,899.99,1799.98,Portugal,Retail,EUR
TXN-2025_01-00049,2025-01-16,PRD-4002,1,149.99,149.99,Netherlands,Online,EUR
TXN-2025_01-00050,2025-01-09,PRD-1003,1,349.99,349.99,Denmark,Retail,EUR
TXN-2025_01-00051,2025-01-15,PRD-3002,1,449.99,449.99,Ireland,Retail,EUR
TXN-2025_01-00052,2025-01-30,PRD-1003,2,349.99,699.98,Sweden,Online,EUR
TXN-2025_01-00053,2025-01-26,PRD-2001,1,1299.99,1299.99,Ireland,Retail,EUR
TXN-2025_01-00054,2025-01-10,PRD-7002,2,499.99,999.98,Poland,Online,EUR
TXN-2025_01-00055,2025-01-29,PRD-1002,1,599.99,599.99,Romania,Retail,EUR
