Transaction_ID,Transaction_Date,Product_ID,Quantity,Unit_Price,Total_Amount,Country,Sales_Channel,Currency
TXN-2025_03-00001,2025-03-03,PRD-4003,1,399.99,399.99,Sweden,Online,EUR
TXN-2025_03-00002,2025-03-29,PRD-4001,1,249.99,249.99,Denmark,Online,EUR
TXN-2025_03-00003,2025-03-04,PRD-3001,2,799.99,1599.98,Sweden,Online,EUR
TXN-2025_03-00004,2025-03-29,PRD-6001,2,199.99,399.98,Czech Republic,Online,EUR
TXN-2025_03-00005,2025-03-07,PRD-4003,2,399.99,799.98,Netherlands,Online,EUR
TXN-2025_03-00006,2025-03-04,PRD-6002,2,449.99,899.98,Spain,Retail,EUR
TXN-2025_03-00007,2025-03-09,PRD-1003,1,349.99,349.99,Ireland,Online,EUR
TXN-2025_03-00008,2025-03-23,PRD-2001,3,1299.99,3899.97,Poland,Online,EUR
TXN-2025_03-00009,2025-03-17,PRD-4002,2,149.99,299.98,Romania,Retail,EUR
TXN-2025_03-00010,2025-03-17,PRD-8001,2,99.99,199.98,Belgium,Online,EUR
TXN-2025_03-00011,2025-03-31,PRD-2002,1,1099.99,1099.99,Denmark,Retail,EUR
TXN-2025_03-00012,2025-03-20,PRD-1001,1,899.99,899.99,Romania,Retail,EUR
TXN-2025_03-00013,2025-03-14,PRD-2003,2,649.99,1299.98,Sweden,Online,EUR
TXN-2025_03-00014,2025-03-14,PRD-3002,3,449.99,1349.97,Sweden,Partner,EUR
TXN-2025_03-00015,2025-03-29,PRD-5003,3,79.99,239.97,Austria,Partner,EUR
TXN-2025_03-00016,2025-03-25,PRD-5001,1,59.99,59.99,Denmark,Online,EUR
TXN-2025_03-00017,2025-03-13,PRD-8001,2,99.99,199.98,France,Partner,EUR
TXN-2025_03-00018,2025-03-04,PRD-5003,2,79.99,159.98,Italy,Retail,EUR
TXN-2025_03-00019,2025-03-13,PRD-1003,3,349.99,1049.97,Switzerland,Partner,EUR
TXN-2025_03-00020,2025-03-21,PRD-4002,1,149.99,149.99,Italy,Retail,EUR
TXN-2025_03-00021,2025-03-17,PRD-4002,2,149.99,299.98,Denmark,Retail,EUR
TXN-2025_03-00022,2025-03-15,PRD-8003,1,379.99,379.99,Ireland,Online,EUR
TXN-2025_03-00023,2025-03-30,PRD-1002,2,599.99,1199.98,Germany,Online,EUR
TXN-2025_03-00024,2025-03-18,PRD-1002,1,599.99,599.99,Greece,Online,EUR
