StoreID,StoreName,City,Year,Month,SatisfactionDate,AvgSatisfactionScore,ResponseCount
S01,Capitol Hill,Seattle,2023,1,2023-01-01,3.84,227
S01,Capitol Hill,Seattle,2023,2,2023-02-01,3.84,164
S01,Capitol Hill,Seattle,2023,3,2023-03-01,3.87,184
S01,Capitol Hill,Seattle,2023,4,2023-04-01,3.8,196
S01,Capitol Hill,Seattle,2023,5,2023-05-01,3.85,206
S01,Capitol Hill,Seattle,2023,6,2023-06-01,3.88,220
S01,Capitol Hill,Seattle,2023,7,2023-07-01,3.88,233
S01,Capitol Hill,Seattle,2023,8,2023-08-01,3.86,212
S01,Capitol Hill,Seattle,2023,9,2023-09-01,3.81,192
S01,Capitol Hill,Seattle,2023,10,2023-10-01,3.82,220
S01,Capitol Hill,Seattle,2023,11,2023-11-01,3.86,187
S01,Capitol Hill,Seattle,2023,12,2023-12-01,3.83,269
S01,Capitol Hill,Seattle,2024,1,2024-01-01,3.78,230
S01,Capitol Hill,Seattle,2024,2,2024-02-01,3.86,196
S01,Capitol Hill,Seattle,2024,3,2024-03-01,3.82,224
S01,Capitol Hill,Seattle,2024,4,2024-04-01,3.84,199
S01,Capitol Hill,Seattle,2024,5,2024-05-01,3.83,231
S01,Capitol Hill,Seattle,2024,6,2024-06-01,3.86,241
S01,Capitol Hill,Seattle,2024,7,2024-07-01,3.87,253
S01,Capitol Hill,Seattle,2024,8,2024-08-01,3.85,235
S01,Capitol Hill,Seattle,2024,9,2024-09-01,3.85,205
S01,Capitol Hill,Seattle,2024,10,2024-10-01,3.85,236
S01,Capitol Hill,Seattle,2024,11,2024-11-01,3.87,224
S01,Capitol Hill,Seattle,2024,12,2024-12-01,3.86,313
S02,Pike Place,Seattle,2023,1,2023-01-01,3.83,174
S02,Pike Place,Seattle,2023,2,2023-02-01,3.79,130
S02,Pike Place,Seattle,2023,3,2023-03-01,3.94,154
S02,Pike Place,Seattle,2023,4,2023-04-01,3.83,153
S02,Pike Place,Seattle,2023,5,2023-05-01,3.78,169
S02,Pike Place,Seattle,2023,6,2023-06-01,3.89,178
S02,Pike Place,Seattle,2023,7,2023-07-01,3.87,188
S02,Pike Place,Seattle,2023,8,2023-08-01,3.83,183
S02,Pike Place,Seattle,2023,9,2023-09-01,3.79,151
S02,Pike Place,Seattle,2023,10,2023-10-01,3.85,177
S02,Pike Place,Seattle,2023,11,2023-11-01,3.82,155
S02,Pike Place,Seattle,2023,12,2023-12-01,3.84,230
S02,Pike Place,Seattle,2024,1,2024-01-01,3.82,186
S02,Pike Place,Seattle,2024,2,2024-02-01,3.84,164
S02,Pike Place,Seattle,2024,3,2024-03-01,3.87,179
S02,Pike Place,Seattle,2024,4,2024-04-01,3.82,179
S02,Pike Place,Seattle,2024,5,2024-05-01,3.84,197
S02,Pike Place,Seattle,2024,6,2024-06-01,3.84,209
S02,Pike Place,Seattle,2024,7,2024-07-01,3.82,201
S02,Pike Place,Seattle,2024,8,2024-08-01,3.79,200
S02,Pike Place,Seattle,2024,9,2024-09-01,3.87,179
S02,Pike Place,Seattle,2024,10,2024-10-01,3.85,194
S02,Pike Place,Seattle,2024,11,2024-11-01,3.82,187
S02,Pike Place,Seattle,2024,12,2024-12-01,3.86,262
S03,Fremont,Seattle,2023,1,2023-01-01,3.8,143
S03,Fremont,Seattle,2023,2,2023-02-01,3.86,111
S03,Fremont,Seattle,2023,3,2023-03-01,3.78,118
S03,Fremont,Seattle,2023,4,2023-04-01,3.8,129
S03,Fremont,Seattle,2023,5,2023-05-01,3.83,126
S03,Fremont,Seattle,2023,6,2023-06-01,3.86,124
S03,Fremont,Seattle,2023,7,2023-07-01,3.83,160
S03,Fremont,Seattle,2023,8,2023-08-01,3.8,148
S03,Fremont,Seattle,2023,9,2023-09-01,3.85,124
S03,Fremont,Seattle,2023,10,2023-10-01,3.87,135
S03,Fremont,Seattle,2023,11,2023-11-01,3.84,134
S03,Fremont,Seattle,2023,12,2023-12-01,3.84,191
S03,Fremont,Seattle,2024,1,2024-01-01,3.87,149
S03,Fremont,Seattle,2024,2,2024-02-01,3.85,115
S03,Fremont,Seattle,2024,3,2024-03-01,3.82,147
S03,Fremont,Seattle,2024,4,2024-04-01,3.8,146
S03,Fremont,Seattle,2024,5,2024-05-01,3.86,140
S03,Fremont,Seattle,2024,6,2024-06-01,3.82,155
S03,Fremont,Seattle,2024,7,2024-07-01,3.81,172
S03,Fremont,Seattle,2024,8,2024-08-01,3.81,155
S03,Fremont,Seattle,2024,9,2024-09-01,3.86,141
S03,Fremont,Seattle,2024,10,2024-10-01,3.86,147
S03,Fremont,Seattle,2024,11,2024-11-01,3.81,146
S03,Fremont,Seattle,2024,12,2024-12-01,3.89,215
S04,Ballard,Seattle,2023,1,2023-01-01,3.84,141
S04,Ballard,Seattle,2023,2,2023-02-01,3.85,115
S04,Ballard,Seattle,2023,3,2023-03-01,3.86,112
S04,Ballard,Seattle,2023,4,2023-04-01,3.84,129
S04,Ballard,Seattle,2023,5,2023-05-01,3.78,129
S04,Ballard,Seattle,2023,6,2023-06-01,3.81,139
S04,Ballard,Seattle,2023,7,2023-07-01,3.84,153
S04,Ballard,Seattle,2023,8,2023-08-01,3.83,150
S04,Ballard,Seattle,2023,9,2023-09-01,3.89,122
S04,Ballard,Seattle,2023,10,2023-10-01,3.84,144
S04,Ballard,Seattle,2023,11,2023-11-01,3.84,128
S04,Ballard,Seattle,2023,12,2023-12-01,3.87,179
S04,Ballard,Seattle,2024,1,2024-01-01,3.82,152
S04,Ballard,Seattle,2024,2,2024-02-01,3.8,123
S04,Ballard,Seattle,2024,3,2024-03-01,3.8,138
S04,Ballard,Seattle,2024,4,2024-04-01,3.84,148
S04,Ballard,Seattle,2024,5,2024-05-01,3.82,145
S04,Ballard,Seattle,2024,6,2024-06-01,3.8,159
S04,Ballard,Seattle,2024,7,2024-07-01,3.86,170
S04,Ballard,Seattle,2024,8,2024-08-01,3.89,175
S04,Ballard,Seattle,2024,9,2024-09-01,3.81,143
