date,graminees_conc,bouleau_conc,aulne_conc,ambroisie_conc,armoise_conc,olivier_conc,autres_conc,source,annee
2021-01-01,0.0,0.0,0.24,0.0,0.0,0.0,4.168,RNSA,2021
2021-01-02,0.0,0.0,0.8,0.0,0.0,0.0,2.567619047619048,RNSA,2021
2021-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.7161904761904762,RNSA,2021
2021-01-04,0.132,0.0,0.0,0.0,0.0,0.0,0.4466666666666666,RNSA,2021
2021-01-05,0.0,0.0,0.47,0.0,0.0,0.0,0.7838888888888889,RNSA,2021
2021-01-06,0.0,0.0,0.0,0.0,0.0,0.0,1.1793548387096775,RNSA,2021
2021-01-07,0.1166666666666666,0.0,0.414,0.0,0.0,0.0,1.6796551724137931,RNSA,2021
2021-01-08,0.0,0.0,0.564,0.22,0.0,0.0,1.344848484848485,RNSA,2021
2021-01-09,0.142,0.0,1.4183333333333332,0.0,0.0,0.0,2.060625,RNSA,2021
2021-01-10,0.235,0.0,0.8116666666666666,0.0,0.0,0.0,1.083235294117647,RNSA,2021
2021-01-11,0.08,0.0,0.05,0.1566666666666666,0.0,0.0,1.234814814814815,RNSA,2021
2021-01-12,0.3909090909090909,0.0,0.0654545454545454,0.0,0.0,0.0,3.5055223880597017,RNSA,2021
2021-01-13,0.7999999999999999,0.0,0.2076923076923077,0.0,0.0,0.0,10.006923076923078,RNSA,2021
2021-01-14,0.2091666666666666,0.0,0.3435714285714285,0.0,0.0,0.0,13.647058823529411,RNSA,2021
2021-01-15,0.21,0.24,0.4533333333333333,0.0,0.0583333333333333,0.0,5.728591549295775,RNSA,2021
2021-01-16,0.0,0.0,0.4141666666666666,0.15,0.0583333333333333,0.0,4.277575757575758,RNSA,2021
2021-01-17,0.1584615384615384,0.0645454545454545,0.4161538461538461,0.0645454545454545,0.0,0.0,5.170597014925373,RNSA,2021
2021-01-18,0.1872222222222222,0.0,0.2666666666666666,0.0,0.0,0.0,3.0490000000000004,RNSA,2021
2021-01-19,0.2595238095238095,0.0355,0.9076,0.0,0.0,0.0,3.155447154471545,RNSA,2021
2021-01-20,0.3095833333333333,0.0,0.783076923076923,0.0,0.0,0.0,9.505813953488373,RNSA,2021
2021-01-21,0.2476,0.0,0.5045833333333333,0.0523809523809523,0.0,0.0,25.41359375,RNSA,2021
2021-01-22,0.1804347826086956,0.0338095238095238,0.3111538461538461,0.0,0.0,0.0,21.90187969924812,RNSA,2021
2021-01-23,0.2321739130434782,0.0338095238095238,0.2186363636363636,0.0,0.0,0.0,5.908110236220472,RNSA,2021
2021-01-24,0.295,0.0,0.1263636363636363,0.0318181818181818,0.0,0.0,4.98,RNSA,2021
2021-01-25,0.26875,0.0,0.5546153846153847,0.0652173913043478,0.0,0.0,3.1659854014598543,RNSA,2021
2021-01-26,0.3716,0.0,0.1368,0.0583333333333333,0.0,0.0,4.185466666666667,RNSA,2021
2021-01-27,0.4746153846153845,0.0,0.43,0.0279999999999999,0.08,0.0,9.982582781456951,RNSA,2021
2021-01-28,0.0796,0.0275,1.448125,0.0,0.0,0.0,17.727300613496933,RNSA,2021
2021-01-29,0.376551724137931,0.055,3.467837837837838,0.0,0.0,0.0,28.08298245614035,RNSA,2021
2021-01-30,0.2825925925925925,0.0270833333333333,1.92,0.0279999999999999,0.0,0.0,15.522874251497006,RNSA,2021
2021-01-31,0.0279999999999999,0.0,0.8669444444444445,0.0,0.0,0.0,12.620588235294118,RNSA,2021
2021-02-01,0.1155172413793103,0.0,1.92575,0.0,0.0,0.0,12.193954802259888,RNSA,2021
2021-02-02,0.2029999999999999,0.0,8.83609756097561,0.0,0.0,0.0,22.856182795698924,RNSA,2021
2021-02-03,0.386,0.0553846153846153,12.1631914893617,0.0276923076923076,0.0,0.0,42.21788659793815,RNSA,2021
2021-02-04,0.4624999999999999,0.0584,12.057555555555556,0.0576,0.0,0.0,23.640885416666663,RNSA,2021
2021-02-05,0.3968965517241379,0.2024,21.50765957446809,0.0864,0.026,0.0,41.93035175879397,RNSA,2021
2021-02-06,0.599,0.3676,28.576666666666668,0.0576,0.0288,0.0,47.2458883248731,RNSA,2021
2021-02-07,0.4282142857142857,0.0576,27.29586956521739,0.0,0.0,0.0,38.41567708333333,RNSA,2021
2021-02-08,0.0473333333333333,0.0,9.803653846153846,0.0,0.0,0.0,8.874146341463415,RNSA,2021
2021-02-09,0.3228125,0.0255172413793103,13.238979591836737,0.0233333333333333,0.0,0.0,16.621764705882352,RNSA,2021
2021-02-10,0.1251851851851851,0.0,17.4956,0.0,0.0,0.0,39.498888888888885,RNSA,2021
2021-02-11,0.2749999999999999,0.0,28.888979591836733,0.0,0.0232142857142857,0.0,43.55122549019608,RNSA,2021
2021-02-12,0.263448275862069,0.1325925925925926,37.35625,0.0,0.0,0.0,41.200721649484535,RNSA,2021
