time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,region,aasqa,source
2020-12-31 22:00:00,3.35,-1.7,0.275,0.0,7.92,Ile-de-France,0,Open-Meteo
2021-01-01 22:00:00,3.25,-2.3,0.43125007,0.0,9.290511,Ile-de-France,0,Open-Meteo
2021-01-02 22:00:00,3.4,0.95,1.8395833,0.2,10.931203,Ile-de-France,0,Open-Meteo
2021-01-03 22:00:00,2.6,1.2,1.84375,0.3,16.299694,Ile-de-France,0,Open-Meteo
2021-01-04 22:00:00,3.0,1.15,1.7916669,0.5,14.118243,Ile-de-France,0,Open-Meteo
2021-01-05 22:00:00,3.5,1.45,2.2854168,0.6,12.371645,Ile-de-France,0,Open-Meteo
2021-01-06 22:00:00,3.6,-0.75,1.552083,0.5,9.220499,Ile-de-France,0,Open-Meteo
2021-01-07 22:00:00,3.25,-1.35,0.6354166,0.0,9.028754,Ile-de-France,0,Open-Meteo
2021-01-08 22:00:00,3.3,-2.55,0.40625,0.0,18.171976,Ile-de-France,0,Open-Meteo
2021-01-09 22:00:00,3.05,-2.85,-0.24791674,0.0,11.631956,Ile-de-France,0,Open-Meteo
2021-01-10 22:00:00,4.9,-3.1,1.4437499,0.0,20.240198,Ile-de-France,0,Open-Meteo
2021-01-11 22:00:00,9.0,3.85,6.6145835,9.1,29.215502,Ile-de-France,0,Open-Meteo
2021-01-12 22:00:00,9.8,5.0,7.264584,1.8000001,25.984917,Ile-de-France,0,Open-Meteo
2021-01-13 22:00:00,10.15,7.1,8.70625,5.7,29.374763,Ile-de-France,0,Open-Meteo
2021-01-14 22:00:00,5.65,0.35,1.7020835,0.70000005,28.312117,Ile-de-France,0,Open-Meteo
2021-01-15 22:00:00,5.0,-1.2,0.54375,7.2000003,23.358425,Ile-de-France,0,Open-Meteo
2021-01-16 22:00:00,6.45,2.2,4.4999995,1.0,20.111729,Ile-de-France,0,Open-Meteo
2021-01-17 22:00:00,7.35,0.9,4.1541667,0.0,18.998316,Ile-de-France,0,Open-Meteo
2021-01-18 22:00:00,7.25,4.5,5.5062504,5.1,28.510544,Ile-de-France,0,Open-Meteo
2021-01-19 22:00:00,12.2,5.6,9.195832,0.3,36.23861,Ile-de-France,0,Open-Meteo
2021-01-20 22:00:00,11.4,5.8,8.864583,9.5,43.736664,Ile-de-France,0,Open-Meteo
2021-01-21 22:00:00,9.45,3.35,5.2854166,5.3999996,36.04497,Ile-de-France,0,Open-Meteo
2021-01-22 22:00:00,5.55,0.95,2.9666665,5.5999994,22.322903,Ile-de-France,0,Open-Meteo
2021-01-23 22:00:00,2.95,-1.2,1.0354167,3.3,25.071098,Ile-de-France,0,Open-Meteo
2021-01-24 22:00:00,4.65,0.15,2.2145834,0.4,26.052162,Ile-de-France,0,Open-Meteo
2021-01-25 22:00:00,4.15,-0.8,1.5250001,0.3,17.673029,Ile-de-France,0,Open-Meteo
2021-01-26 22:00:00,8.15,2.25,5.3875003,4.1999993,19.191748,Ile-de-France,0,Open-Meteo
2021-01-27 22:00:00,13.95,7.95,11.245833,8.400001,29.301878,Ile-de-France,0,Open-Meteo
2021-01-28 22:00:00,11.65,8.0,10.139584,3.5999994,36.0,Ile-de-France,0,Open-Meteo
2021-01-29 22:00:00,12.35,6.05,9.391667,11.900001,22.33161,Ile-de-France,0,Open-Meteo
2021-01-30 22:00:00,10.35,7.45,8.489583,10.599999,10.829959,Ile-de-France,0,Open-Meteo
2021-01-31 22:00:00,10.1,5.1,8.527084,2.2,19.171478,Ile-de-France,0,Open-Meteo
2021-02-01 22:00:00,14.0,5.1,10.862499,2.1999998,25.872456,Ile-de-France,0,Open-Meteo
2021-02-02 22:00:00,12.5,7.05,10.6875,4.6,34.92,Ile-de-France,0,Open-Meteo
2021-02-03 22:00:00,11.3,5.5,7.9750004,2.5000002,13.004922,Ile-de-France,0,Open-Meteo
2021-02-04 22:00:00,10.85,6.5,8.083333,0.3,12.682018,Ile-de-France,0,Open-Meteo
2021-02-05 22:00:00,8.6,6.3,7.3125,16.5,14.565548,Ile-de-France,0,Open-Meteo
2021-02-06 22:00:00,6.85,0.55,3.6624997,3.8999996,18.892282,Ile-de-France,0,Open-Meteo
2021-02-07 22:00:00,0.6,-1.6,-0.47500002,0.2,12.313894,Ile-de-France,0,Open-Meteo
2021-02-08 22:00:00,-0.75,-3.85,-1.9708334,0.2,20.771093,Ile-de-France,0,Open-Meteo
2021-02-09 22:00:00,-0.95,-5.6,-3.28125,2.6,22.206486,Ile-de-France,0,Open-Meteo
2021-02-10 22:00:00,0.75,-5.95,-3.2229166,0.0,22.725668,Ile-de-France,0,Open-Meteo
2021-02-11 22:00:00,1.25,-4.25,-2.2729168,0.0,21.933426,Ile-de-France,0,Open-Meteo
2021-02-12 22:00:00,0.05,-5.85,-3.4791663,0.0,20.907913,Ile-de-France,0,Open-Meteo
