date,ambroisie_conc,armoise_conc,aulne_conc,autres_conc,bouleau_conc,graminees_conc,olivier_conc,source,annee
2021-01-01,0.0,0.0,0.24,4.168,0.0,0.0,0.0,RNSA,2021
2021-01-02,0.0,0.0,0.8,2.567619047619048,0.0,0.0,0.0,RNSA,2021
2021-01-03,0.0,0.0,0.0,0.7161904761904762,0.0,0.0,0.0,RNSA,2021
2021-01-04,0.0,0.0,0.0,0.4466666666666666,0.0,0.132,0.0,RNSA,2021
2021-01-05,0.0,0.0,0.47,0.7838888888888889,0.0,0.0,0.0,RNSA,2021
2021-01-06,0.0,0.0,0.0,1.1793548387096775,0.0,0.0,0.0,RNSA,2021
2021-01-07,0.0,0.0,0.414,1.6796551724137931,0.0,0.11666666666666665,0.0,RNSA,2021
2021-01-08,0.22000000000000003,0.0,0.564,1.344848484848485,0.0,0.0,0.0,RNSA,2021
2021-01-09,0.0,0.0,1.4183333333333332,2.060625,0.0,0.142,0.0,RNSA,2021
2021-01-10,0.0,0.0,0.8116666666666666,1.083235294117647,0.0,0.235,0.0,RNSA,2021
2021-01-11,0.15666666666666665,0.0,0.05,1.234814814814815,0.0,0.08,0.0,RNSA,2021
2021-01-12,0.0,0.0,0.06545454545454545,3.5055223880597017,0.0,0.3909090909090909,0.0,RNSA,2021
2021-01-13,0.0,0.0,0.2076923076923077,10.006923076923078,0.0,0.7999999999999999,0.0,RNSA,2021
2021-01-14,0.0,0.0,0.3435714285714285,13.647058823529411,0.0,0.20916666666666664,0.0,RNSA,2021
2021-01-15,0.0,0.05833333333333333,0.45333333333333337,5.728591549295775,0.24000000000000002,0.21,0.0,RNSA,2021
2021-01-16,0.15,0.05833333333333333,0.4141666666666666,4.277575757575758,0.0,0.0,0.0,RNSA,2021
2021-01-17,0.06454545454545454,0.0,0.41615384615384615,5.170597014925373,0.06454545454545454,0.15846153846153846,0.0,RNSA,2021
2021-01-18,0.0,0.0,0.26666666666666666,3.0490000000000004,0.0,0.18722222222222223,0.0,RNSA,2021
2021-01-19,0.0,0.0,0.9076000000000001,3.1554471544715446,0.0355,0.25952380952380955,0.0,RNSA,2021
2021-01-20,0.0,0.0,0.783076923076923,9.505813953488373,0.0,0.3095833333333333,0.0,RNSA,2021
2021-01-21,0.05238095238095238,0.0,0.5045833333333333,25.41359375,0.0,0.2476,0.0,RNSA,2021
2021-01-22,0.0,0.0,0.31115384615384617,21.90187969924812,0.03380952380952381,0.18043478260869567,0.0,RNSA,2021
2021-01-23,0.0,0.0,0.21863636363636366,5.908110236220472,0.03380952380952381,0.23217391304347826,0.0,RNSA,2021
2021-01-24,0.031818181818181815,0.0,0.12636363636363634,4.98,0.0,0.295,0.0,RNSA,2021
2021-01-25,0.06521739130434782,0.0,0.5546153846153847,3.1659854014598543,0.0,0.26875,0.0,RNSA,2021
2021-01-26,0.05833333333333333,0.0,0.1368,4.185466666666667,0.0,0.3716,0.0,RNSA,2021
2021-01-27,0.027999999999999997,0.08,0.43,9.982582781456953,0.0,0.47461538461538455,0.0,RNSA,2021
2021-01-28,0.0,0.0,1.448125,17.727300613496933,0.0275,0.0796,0.0,RNSA,2021
2021-01-29,0.0,0.0,3.467837837837838,28.08298245614035,0.055,0.37655172413793103,0.0,RNSA,2021
2021-01-30,0.027999999999999997,0.0,1.9200000000000002,15.522874251497006,0.027083333333333334,0.28259259259259256,0.0,RNSA,2021
2021-01-31,0.0,0.0,0.8669444444444445,12.620588235294118,0.0,0.027999999999999997,0.0,RNSA,2021
2021-02-01,0.0,0.0,1.92575,12.193954802259887,0.0,0.11551724137931035,0.0,RNSA,2021
2021-02-02,0.0,0.0,8.83609756097561,22.856182795698924,0.0,0.20299999999999999,0.0,RNSA,2021
2021-02-03,0.02769230769230769,0.0,12.1631914893617,42.21788659793815,0.05538461538461538,0.386,0.0,RNSA,2021
2021-02-04,0.0576,0.0,12.057555555555556,23.640885416666666,0.0584,0.46249999999999997,0.0,RNSA,2021
2021-02-05,0.0864,0.026000000000000002,21.507659574468086,41.93035175879397,0.20240000000000002,0.3968965517241379,0.0,RNSA,2021
2021-02-06,0.0576,0.0288,28.576666666666668,47.2458883248731,0.3676,0.599,0.0,RNSA,2021
2021-02-07,0.0,0.0,27.29586956521739,38.41567708333333,0.0576,0.4282142857142857,0.0,RNSA,2021
2021-02-08,0.0,0.0,9.803653846153846,8.874146341463415,0.0,0.04733333333333333,0.0,RNSA,2021
