cis,nom_medicament,laboratoire,code_atc,molecule,nb_patients_ville,substance_active,pct_age_0_19_ans,pct_age_20_59_ans,pct_age_60_ans_et_plus,pct_sexe_female,pct_sexe_male,est_antihistaminique
61266250,"a 313 200 000 ui pour cent, pommade",pharma developpement,D03AX,AUTRES CICATRISANTS,300.0,"concentrat de vitamine a synthétique, forme huileuse",12.2790404040404,42.3295454545454,45.3914141414141,61.0479797979798,36.1742424242424,False
62869109,"a 313 50 000 u.i., capsule molle",pharma developpement,A11CA01,Rétinol (vitamine A),20000.0,"concentrat de vitamine a synthétique, forme huileuse",11.1169848871198,66.2547422103364,22.5722992723428,69.7661546116052,30.1872006965607,False
61876780,"abacavir arrow 300 mg, comprimé pelliculé sécable",arrow generiques,J05AF06,Abacavir,70.0,sulfate d'abacavir,,45.6998313659359,54.300168634064,34.2327150084317,65.7672849915683,False
68257528,"abacavir/lamivudine accord 600 mg/300 mg, comprimé pelliculé",accord healthcare france,J05AR02,Lamivudine et abacavir,,chlorhydrate d'abacavir monohydraté,,72.0,28.0,24.0,52.0,False
62828870,"abacavir/lamivudine arrow 600 mg/300 mg, comprimé pelliculé",arrow generiques,J05AR02,Lamivudine et abacavir,200.0,sulfate d'abacavir,,61.253946774921,38.7460532250789,34.1452413170951,65.8547586829048,False
63431640,"abacavir/lamivudine biogaran 600 mg/300 mg, comprimé pelliculé",biogaran,J05AR02,Lamivudine et abacavir,2000.0,lamivudine,0.871123192882738,65.7605337946373,33.3003830470777,36.3647596688496,63.5672803657481,False
65196479,"abacavir/lamivudine eg 600 mg/300 mg, comprimé pelliculé",eg labo - laboratoires eurogenerics,J05AR02,Lamivudine et abacavir,200.0,abacavir,,61.4081524616199,38.59184753838,35.574377977766,64.4256220222339,False
62170486,"abacavir/lamivudine mylan 600 mg/300 mg, comprimé pelliculé",mylan sas,J05AR02,Lamivudine et abacavir,2000.0,lamivudine,1.02323398263318,69.5188922788077,29.457873738559,34.1187514667918,65.8202299929594,False
67720261,"abacavir/lamivudine sandoz 600 mg/300 mg, comprimé pelliculé",sandoz,J05AR02,Lamivudine et abacavir,800.0,lamivudine,0.67325598051855,68.4429164876092,30.8838275318722,35.0379601776249,64.2887838418564,False
65857902,"abacavir/lamivudine teva 600 mg/300 mg, comprimé pelliculé",teva sante,J05AR02,Lamivudine et abacavir,1000.0,abacavir,0.801583374567046,67.7288471053933,31.3607125185551,34.8540326571004,64.5719940623453,False
67567004,"abacavir/lamivudine viatris 600 mg/300 mg, comprimé pelliculé",viatris sante,J05AR02,Lamivudine et abacavir,400.0,sulfate d'abacavir,0.29681597409606,54.7760388559093,44.9271451699946,33.9719373988127,66.0280626011872,False
62202005,"abacavir/lamivudine zentiva 600 mg/300 mg, comprimé pelliculé",zentiva france,J05AR02,Lamivudine et abacavir,200.0,lamivudine,,62.0940170940171,37.9059829059829,37.6068376068376,62.3931623931623,False
63152345,"abacavir/lamivudine/zidovudine viatris 300 mg/150 mg/300 mg, comprimé pelliculé",viatris sante,J05AR04,"Zidovudine, lamivudine et abacavir",90.0,lamivudine,,56.8575233022636,43.1424766977363,26.3648468708388,73.6351531291611,False
63797011,"abacavir sandoz 300 mg, comprimé pelliculé sécable",sandoz,J05AF06,Abacavir,90.0,abacavir,,52.3994811932555,47.6005188067444,31.3878080415045,68.6121919584954,False
62401060,"abacavir viatris 300 mg, comprimé pelliculé sécable",viatris sante,J05AF06,Abacavir,400.0,abacavir,4.26192492238216,47.1069714930849,48.2641828958509,35.1397121083827,64.0982218458933,False
