date,graminees,bouleau,aulne,ambroisie,armoise,olivier,gram_lag3,gram_lag7,gram_lag14,gram_roll7,gram_roll14,gram_roll30,flag_pic_pollen,mois,annee,jour_annee,saison_allergies,temp_moy,temp_max,precip,wind
2021-01-08,0.0,0.0,0.564,0.22,0.0,0.0,0.0,0.0,,0.03552380952380951,0.031083333333333324,0.031083333333333324,0,1,2021,8,0,0.29317303615384616,3.084038460769231,2.1615384653846155,16.980245076923076
2021-01-09,0.142,0.0,1.4183333333333332,0.0,0.0,0.0,0.0,0.0,,0.0558095238095238,0.0434074074074074,0.0434074074074074,0,1,2021,9,0,0.23275637484615383,3.2648076923076923,1.9615385846153843,15.324295846153847
2021-01-10,0.235,0.0,0.8116666666666666,0.0,0.0,0.0,0.1166666666666666,0.0,,0.08938095238095237,0.06256666666666666,0.06256666666666666,0,1,2021,10,0,0.4481410957692307,3.83403846,0.6538461538461539,16.048414
2021-01-11,0.08,0.0,0.05,0.1566666666666666,0.0,0.0,0.0,0.132,,0.08195238095238093,0.06415151515151514,0.06415151515151514,0,1,2021,11,0,3.9774680911538463,7.060961540769231,5.569230511538462,25.067608384615387
2021-01-12,0.3909090909090909,0.0,0.0654545454545454,0.0,0.0,0.0,0.142,0.0,,0.13779653679653678,0.09138131313131313,0.09138131313131313,0,1,2021,12,0,6.449422853846154,9.014807692307691,3.2000000461538463,19.514384646153847
2021-01-13,0.7999999999999999,0.0,0.2076923076923077,0.0,0.0,0.0,0.235,0.0,,0.2520822510822511,0.14589044289044287,0.14589044289044287,0,1,2021,13,0,6.781474253846154,8.991730746153847,6.5846157384615385,24.844819123076924
2021-01-14,0.2091666666666666,0.0,0.3435714285714285,0.0,0.0,0.0,0.08,0.1166666666666666,,0.26529653679653675,0.15041017316017316,0.15041017316017316,0,1,2021,14,0,3.444615492307692,6.307115384615385,1.492307726923077,23.445639692307694
2021-01-15,0.21,0.24,0.4533333333333333,0.0,0.0583333333333333,0.0,0.3909090909090909,0.0,0.0,0.2952965367965367,0.16541017316017315,0.15438282828282826,0,1,2021,15,0,0.8891666092307692,4.9725,4.18461534923077,20.321128153846153
2021-01-16,0.0,0.0,0.4141666666666666,0.15,0.0583333333333333,0.0,0.7999999999999999,0.142,0.0,0.2750108225108225,0.16541017316017315,0.1447339015151515,0,1,2021,16,0,4.401185676153846,6.860961538461538,2.7846153153846154,21.672727307692305
2021-01-17,0.1584615384615384,0.0645454545454545,0.4161538461538461,0.0645454545454545,0.0,0.0,0.2091666666666666,0.235,0.0,0.26407675657675656,0.17672885447885447,0.14554140957082132,0,1,2021,17,0,2.9258653076923076,6.468653846153846,0.1,16.179937
2021-01-18,0.1872222222222222,0.0,0.2666666666666666,0.0,0.0,0.0,0.21,0.08,0.132,0.2793942168942169,0.1806732989232989,0.14785701027367693,0,1,2021,18,0,4.524583137692307,8.3725,1.2307692076923078,23.0922977
2021-01-19,0.2595238095238095,0.0355,0.9076,0.0,0.0,0.0,0.0,0.3909090909090909,0.0,0.26062489098203384,0.1992107138892853,0.15373421023421022,0,1,2021,19,0,7.922499515384615,10.814807692307692,1.4230769076923075,33.985827923076926
2021-01-20,0.3095833333333333,0.0,0.783076923076923,0.0,0.0,0.0,0.1584615384615384,0.7999999999999999,0.0,0.19056536717251,0.22132380912738053,0.16152666638916638,0,1,2021,20,0,8.695737192307693,11.249423076923078,8.207692292307692,35.32253107692308
2021-01-21,0.2476,0.0,0.5045833333333333,0.0523809523809523,0.0,0.0,0.1872222222222222,0.2091666666666666,0.1166666666666666,0.1960558433629862,0.23067619007976145,0.16562539656111083,0,1,2021,21,0,6.708397392307693,9.426346153846154,10.392307769230769,29.94699946153846
2021-01-22,0.1804347826086956,0.0338095238095238,0.3111538461538461,0.0,0.0,0.0,0.2595238095238095,0.21,0.0,0.1918322408785141,0.24356438883752543,0.16629855047236466,0,1,2021,22,0,4.251826776615385,6.484038461538462,6.853846353846153,27.22841476923077
