annee_mois_str,gram_moy,gram_max,gram_roll7,nb_jours_pic,temp_moy,precip,mois,annee,saison_allergies,nb_ruptures,nb_risques,target_rupture,boites_total,annee_mois_dt,cumul_thermique,gram_lag_mois,gram_lag_2mois,gram_roll3m,ratio_pic_saison,ruptures_lag1
2021-02,0.678952052493865,1.5130555555555556,0.575913134826794,0,6.976975683502746,1.910439550989011,2,2021,0,0,0,0,45643368.0,2021-02-01,209.3092705050824,0.2424493774214476,,0.4607007149576563,0.0,0.0
2021-03,1.154169260016112,2.9812280701754386,1.058687131822365,0,7.76723738967742,1.072208427841191,3,2021,0,0,0,0,45643368.0,2021-03-01,233.0171216903226,0.678952052493865,0.2424493774214476,0.6918568966438082,0.0,0.0
2021-04,3.804527262714191,11.32,3.4514890611965496,0,9.14248930153846,1.4033333596666668,4,2021,1,0,0,0,45643368.0,2021-04-01,274.2746790461538,1.154169260016112,0.678952052493865,1.8792161917413894,0.0,0.0
2021-05,21.78337443845973,86.61328358208955,15.354827686437035,10,12.880073312406948,2.9429280408933005,5,2021,1,0,0,0,45643368.0,2021-05-01,386.40219937220843,3.804527262714191,1.154169260016112,8.91402365373001,0.3333333333333333,0.0
2021-06,81.13221473079811,159.0015873015873,84.67510057611857,29,19.172873937179485,3.333846174230769,6,2021,1,0,1,1,45643368.0,2021-06-01,575.1862181153846,21.78337443845973,3.804527262714191,35.573372143990674,0.9666666666666667,0.0
2021-07,23.909593060721694,82.23768115942029,26.76345453079698,19,19.44858553101737,2.7923077208436724,7,2021,1,0,0,0,45643368.0,2021-07-01,583.457565930521,81.13221473079811,21.78337443845973,42.27506074332651,0.6333333333333333,0.0
2021-08,4.498156961211391,8.0592,4.859379679721367,0,18.876108444168736,1.1560794048138958,8,2021,0,0,1,1,45643368.0,2021-08-01,566.2832533250621,23.909593060721694,81.13221473079811,36.513321584243734,0.0,0.0
2021-09,2.062403425910244,4.7876,2.3282800488934186,0,17.958429425641025,2.1135897491538462,9,2021,0,1,0,1,45643368.0,2021-09-01,538.7528827692307,4.498156961211391,23.909593060721694,10.156717815947777,0.0,0.0
2021-10,0.7019723412787929,1.7566666666666668,0.7461290104818742,0,12.151496070223326,2.753101779528536,10,2021,0,1,1,1,45643368.0,2021-10-01,364.5448821066998,2.062403425910244,4.498156961211391,2.420844242800143,0.0,1.0
2021-11,0.2706388888888889,0.8225,0.2799531746031745,0,6.670785290333333,1.9428204967179488,11,2021,0,0,2,1,45643368.0,2021-11-01,200.12355871,0.7019723412787929,2.062403425910244,1.0116715520259754,0.0,1.0
2021-12,0.1968387096774193,1.8733333333333333,0.1677142857142856,0,6.123730365972705,3.11339950382134,12,2021,0,0,2,1,45643368.0,2021-12-01,183.71191097918114,0.2706388888888889,0.7019723412787929,0.3898166466150337,0.0,0.0
2022-01,0.1064392746778649,0.3475,0.147902587639617,0,3.839461343693548,1.4960298065260549,1,2022,0,1,1,1,48731294.0,2022-01-01,115.18384031080643,0.1968387096774193,0.2706388888888889,0.19130562441472435,0.0,0.0
2022-02,0.2865184270706105,0.7670454545454546,0.2384663660262102,0,6.902610995912087,1.424175826565934,2,2022,0,0,1,1,48731294.0,2022-02-01,207.07832987736262,0.1064392746778649,0.1968387096774193,0.19659880380863157,0.0,1.0
2022-03,1.2758540025084506,2.822075471698113,1.2028899821163632,0,8.591410245499752,1.4843672530769232,3,2022,0,1,0,1,48731294.0,2022-03-01,257.74230736499254,0.2865184270706105,0.1064392746778649,0.556270568085642,0.0,0.0
2022-04,4.688302051132518,13.478888888888887,3.648249881575021,0,10.892126044794871,1.902307687820513,4,2022,1,1,0,1,48731294.0,2022-04-01,326.7637813438461,1.2758540025084506,0.2865184270706105,2.083558160237193,0.0,1.0
2022-05,83.75198508186313,205.28225806451613,73.70771087354251,26,16.74811520297767,1.338709691761787,5,2022,1,0,0,0,48731294.0,2022-05-01,502.4434560893301,4.688302051132518,1.2758540025084506,29.905380378501363,0.8666666666666667,1.0
2022-06,44.25822238523127,102.29954545454548,54.15100993642172,23,19.99844554615385,2.8882051812051284,6,2022,1,1,1,1,48731294.0,2022-06-01,599.9533663846155,83.75198508186313,4.688302051132518,44.232836506075635,0.7666666666666667,0.0
