TransactionID,StoreID,ProductEAN,Quantity,TotalAmount,TransactionDate,PaymentMethod,CustomerID,DiscountApplied
TXN109468,ST001,3045386371655,1,29.99,2024-10-06,Sans Contact,CF000424,1.5
TXN109469,ST001,3045386371655,1,29.99,2024-10-06,Carte Fidélité,,0.0
TXN109470,ST001,8000500310427,2,6.58,2024-10-06,Espèces,,0.0
TXN109471,ST001,9999999999999,1,8.37,2024-10-06,Espèces,,0.0
TXN109472,ST001,3179730009762,2,4.98,2024-10-06,Carte Bancaire,CF000382,0.75
TXN109473,ST001,3033490004606,1,2.99,2024-10-06,Carte Fidélité,,0.0
TXN109474,ST001,5410076959839,3,8.07,2024-10-06,Sans Contact,,0.81
TXN109475,ST001,3038350011503,1,0.99,2024-10-06,Carte Bancaire,CF000318,0.15
TXN109476,ST001,3014260115692,2,4.78,2024-10-06,Espèces,,0.0
TXN109477,ST001,3256220122245,1,1.09,2024-10-06,Carte Fidélité,,0.0
TXN109478,ST001,3600523497157,2,7.78,2024-10-06,Espèces,,0.0
TXN109479,ST001,3179730009762,1,2.49,2024-10-06,Sans Contact,,0.0
TXN109480,ST001,3576280147583,2,5.78,2024-10-06,Espèces,,0.0
TXN109481,ST001,5449000000996,3,4.77,2024-10-06,Espèces,,0.72
TXN109482,ST001,3600523497157,1,3.89,2024-10-06,Carte Bancaire,,0.0
TXN109483,ST001,8076809513753,1,1.69,2024-10-06,Carte Bancaire,,0.25
TXN109484,ST001,3175681851849,2,3.78,2024-10-06,Espèces,CF000131,0.0
TXN109485,ST001,3038350011503,1,0.99,2024-10-06,Espèces,,0.0
TXN109486,ST001,5449000000996,3,4.77,2024-10-06,Espèces,CF000340,0.0
TXN109487,ST001,8000500310427,4,13.16,2024-10-06,Sans Contact,,0.0
TXN109488,ST001,3256220122245,1,1.09,2024-10-06,Chèque,,0.0
TXN109489,ST001,3560070541225,2,5.38,2024-10-06,Sans Contact,CF000056,0.0
TXN109490,ST001,8076809513753,2,3.38,2024-10-06,Espèces,,0.0
TXN109491,ST001,3073781069556,2,5.38,2024-10-06,Espèces,,0.54
TXN109492,ST001,3033710074532,1,2.19,2024-10-06,Sans Contact,,0.0
TXN109493,ST001,3560070976508,2,5.58,2024-10-06,Espèces,CF000012,0.0
TXN109494,ST001,3228857000166,1,4.49,2024-10-06,Chèque,,0.0
TXN109495,ST001,3059940003074,1,1.49,2024-10-06,Sans Contact,,0.0
TXN109496,ST001,3560070541225,2,5.38,2024-10-06,Carte Fidélité,CF000407,0.0
TXN109497,ST001,3600523497157,1,3.89,2024-10-06,Carte Bancaire,CF000077,0.0
TXN109498,ST001,3560070824267,1,1.89,2024-10-06,Espèces,,0.28
TXN109499,ST001,3256220122245,1,1.09,2024-10-06,Sans Contact,CF000080,0.0
TXN109500,ST001,3256220122245,2,2.18,2024-10-06,Carte Bancaire,,0.0
TXN109501,ST001,3560070396405,3,3.87,2024-10-06,Carte Bancaire,CF000431,0.0
TXN109502,ST001,5410036301159,3,29.97,2024-10-06,Carte Fidélité,,0.0
TXN109503,ST001,8000500310427,2,6.58,2024-10-06,Carte Fidélité,,0.0
TXN109504,ST001,3560070140084,2,3.18,2024-10-06,Sans Contact,,0.0
TXN109505,ST001,3073781069556,2,5.38,2024-10-06,Carte Bancaire,CF000027,0.27
TXN109506,ST001,4015400507581,2,29.98,2024-10-06,Espèces,,0.0
TXN109507,ST001,3038350011503,1,0.99,2024-10-06,Sans Contact,,0.2
TXN109508,ST001,3045386371655,1,29.99,2024-10-06,Carte Fidélité,,0.0
